file,segment,norm_area,compactness,eccentricity,extent,solidity,hu0c,hu1c,z00,z01,z10,z11,hog0,hog1,hog2,hog3
im7.jpg,2,0.13715278,0.17320628,0.95418626,0.19339046,0.35868332,0.97771925,0.92986041,0.22569445,0.00000000,0.08333334,0.23958333,0.90577650,0.00000000,0.42375585,0.00000000
im7.jpg,3,0.15928820,0.21799673,0.93722284,0.26065341,0.39042553,0.95259500,0.79869133,0.21527778,0.11631945,0.00694444,0.29861110,0.99593991,0.00000000,0.09002069,0.00000000
im7.jpg,4,0.28732640,0.14697257,0.75400603,0.49037036,0.58428949,0.84278762,0.52445453,0.30902779,0.26736110,0.22569445,0.34722221,0.70710677,0.00000000,0.70710677,0.00000000
im7.jpg,5,0.23741320,0.07989073,0.85436565,0.24773550,0.37620357,0.96247476,0.71945566,0.16666667,0.29687500,0.32465279,0.16145833,0.70710677,0.00000000,0.70710677,0.00000000
im8.jpg,0,0.20920140,0.09115776,0.87739998,0.30818415,0.48588711,0.91355753,0.62742674,0.12326389,0.27083334,0.31076390,0.13194445,0.70710677,0.00000000,0.70710677,0.00000000
im8.jpg,1,0.27604166,0.08698437,0.86063516,0.31547618,0.47111112,0.89607364,0.59275025,0.20659722,0.35069445,0.33333334,0.21354167,0.70710677,0.00000000,0.70710677,0.00000000
im8.jpg,2,0.26909721,0.13987261,0.84692907,0.34909910,0.47692308,0.89981693,0.58792901,0.30208334,0.28645834,0.19791667,0.28993055,0.77001768,0.00000000,0.63802266,0.00000000
im8.jpg,3,0.24696180,0.12618102,0.87321621,0.41231883,0.50132161,0.89705396,0.60237116,0.22569445,0.27083334,0.22048610,0.27083334,0.73910731,0.00000000,0.67358774,0.00000000
im8.jpg,4,0.14279515,0.17933485,0.97268951,0.28000000,0.47889373,0.96027446,0.88069689,0.08506945,0.22916667,0.23437500,0.02256944,0.84716666,0.00000000,0.53132725,0.00000000
im9.jpg,0,0.36935765,0.16462727,0.84409279,0.42212301,0.56171620,0.86675876,0.56010729,0.29861110,0.48958334,0.43576390,0.25347221,0.92535877,0.00000000,0.37909260,0.00000000
im9.jpg,1,0.21310765,0.33240324,0.94163150,0.39533010,0.67911482,0.86834562,0.62202466,0.02604167,0.31770834,0.33333334,0.17534722,0.82676744,0.00000000,0.56254387,0.00000000
im9.jpg,2,0.20095485,0.13600184,0.84535897,0.32883522,0.42949906,0.88781554,0.57599354,0.30902779,0.14409722,0.08333334,0.26736110,0.82089514,0.00000000,0.57107908,0.00000000
im9.jpg,3,0.19878472,0.12909234,0.84809238,0.38294315,0.44379845,0.92395449,0.61874151,0.25694445,0.19965278,0.12152778,0.21701390,0.71070212,0.00000000,0.70349306,0.00000000
im9.jpg,4,0.12500000,0.18805054,0.95880687,0.27272728,0.44307691,0.96140569,0.86544502,0.20138890,0.02083333,0.07638889,0.20138890,0.91581094,0.00000000,0.40160963,0.00000000
im9.jpg,5,0.15972222,0.23827034,0.92968941,0.32915920,0.50342000,0.91847676,0.69063878,0.23784722,0.14409722,0.00000000,0.25694445,0.95299566,0.00000000,0.30298391,0.00000000
